NO3_4mM_1	NO3_4mM_2	NO3_12mM_1	NO3_12mM_2
HaLaN_01866	105.881317	48.255497	111.071426	90.78981
HaLaN_01869	71.866898	86.135796	63.718452	71.347794
HaLaN_01877	0	0	3.257929	4.411565
HaLaN_01884	0	0	40.081062	43.576633
HaLaN_01885	0	0	1.719853	1.002502
HaLaN_01897	0	0	7.263888	11.184762
HaLaN_01899	0	0	7.822469	13.063608
HaLaN_01900	38.769089	24.195398	22.411751	27.248873
HaLaN_01905	0	0	26.776533	37.173191
HaLaN_01908	0	0	3.923088	5.986494
HaLaN_01909	0	0	2.527611	4.885011
HaLaN_01910	0	0	3.578061	3.06306
HaLaN_01919	0	0	11.426776	10.872684
HaLaN_01921	0	0	12.995371	13.973995
HaLaN_01922	0	0	26.461239	64.840607
HaLaN_01926	782.532471	713.046326	0	0
HaLaN_01930	0	0	8.002032	9.600582
HaLaN_01933	0	0	44.284348	49.654099
HaLaN_01934	0	0	12.679845	12.567692
HaLaN_01960	0	0	49.749493	66.531242
HaLaN_01962	0	0	17.945921	19.72381
HaLaN_01963	0	0	12.445115	10.942544
HaLaN_01970	0	0	8.910289	9.876943
HaLaN_01973	40.110207	134.698212	63.193077	64.64093
HaLaN_01975	0	0	13.827923	34.998852
HaLaN_01982	64.373077	150.124191	135.169632	108.216492
